2026-05-20 19:56:09 | IP: 102.89.47.122 | Location: Lagos, Nigeria | Browser: Firefox | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom_updated/index.php | Telegram: Failed
2026-05-20 19:59:14 | IP: 102.89.47.122 | Location: Lagos, Nigeria | Browser: Firefox | Device: Desktop | Referrer: Direct visit | Telegram: Failed
2026-05-20 19:59:45 | IP: 102.89.47.122 | Location: Lagos, Nigeria | Browser: Firefox | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom_updated/invite.php | Telegram: Failed
2026-05-20 19:59:53 | IP: 102.89.47.122 | Location: Lagos, Nigeria | Browser: Firefox | Device: Desktop | Referrer: Direct visit | Telegram: Failed
2026-05-22 14:39:50 | IP: 98.142.247.91 | Location: Chicago, United States | Browser: Chrome | Device: Desktop | Referrer: Direct visit | Telegram: Failed
2026-05-29 17:01:08 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Firefox | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-05-29 17:39:21 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-05-29 23:26:40 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-05-30 00:06:15 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-05-30 06:41:12 | IP: 92.119.177.20 | Location: New York, United States | Browser: Firefox | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-05-30 08:49:07 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-05-30 09:01:58 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 10:17:11 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 15:20:30 | IP: 105.113.82.70 | Location: Lagos, Nigeria | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 15:21:08 | IP: 105.113.82.70 | Location: Lagos, Nigeria | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 15:30:56 | IP: 105.113.82.70 | Location: Lagos, Nigeria | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 15:31:05 | IP: 105.113.82.70 | Location: Lagos, Nigeria | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 15:49:38 | IP: 77.93.153.166 | Location: Kansas City, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:35:21 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:38:22 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:46:12 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:49:42 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:53:01 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:54:55 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 16:56:36 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 17:21:49 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-02 17:30:37 | IP: 204.111.217.53 | Location: Oakland, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
